level,name,year,substance,count,share
regions,Fairfield County,2012,all,1536,NA
regions,Fairfield County,2012,opioid,768,0.5
regions,Fairfield County,2012,fentanyl,768,0.5
regions,Fairfield County,2012,heroin,768,0.5
regions,Fairfield County,2012,cocaine,768,0.5
regions,Fairfield County,2012,amphet,768,0.5
regions,Fairfield County,2013,all,2624,NA
regions,Fairfield County,2013,opioid,1312,0.5
regions,Fairfield County,2013,fentanyl,1312,0.5
regions,Fairfield County,2013,heroin,1312,0.5
regions,Fairfield County,2013,cocaine,1312,0.5
regions,Fairfield County,2013,amphet,1312,0.5
regions,Fairfield County,2014,all,2368,NA
regions,Fairfield County,2014,opioid,1184,0.5
regions,Fairfield County,2014,fentanyl,1184,0.5
regions,Fairfield County,2014,heroin,1184,0.5
regions,Fairfield County,2014,cocaine,1184,0.5
regions,Fairfield County,2014,amphet,1184,0.5
regions,Fairfield County,2015,all,3392,NA
regions,Fairfield County,2015,opioid,1696,0.5
regions,Fairfield County,2015,fentanyl,1696,0.5
regions,Fairfield County,2015,heroin,1696,0.5
regions,Fairfield County,2015,cocaine,1696,0.5
regions,Fairfield County,2015,amphet,1696,0.5
regions,Fairfield County,2016,all,5024,NA
regions,Fairfield County,2016,opioid,2512,0.5
regions,Fairfield County,2016,fentanyl,2512,0.5
regions,Fairfield County,2016,heroin,2512,0.5
regions,Fairfield County,2016,cocaine,2512,0.5
regions,Fairfield County,2016,amphet,2512,0.5
regions,Fairfield County,2017,all,4704,NA
regions,Fairfield County,2017,opioid,2352,0.5
regions,Fairfield County,2017,fentanyl,2352,0.5
regions,Fairfield County,2017,heroin,2352,0.5
regions,Fairfield County,2017,cocaine,2352,0.5
regions,Fairfield County,2017,amphet,2352,0.5
regions,Fairfield County,2018,all,4704,NA
regions,Fairfield County,2018,opioid,2352,0.5
regions,Fairfield County,2018,fentanyl,2352,0.5
regions,Fairfield County,2018,heroin,2352,0.5
regions,Fairfield County,2018,cocaine,2352,0.5
regions,Fairfield County,2018,amphet,2352,0.5
regions,Fairfield County,2019,all,5408,NA
regions,Fairfield County,2019,opioid,2704,0.5
regions,Fairfield County,2019,fentanyl,2704,0.5
regions,Fairfield County,2019,heroin,2704,0.5
regions,Fairfield County,2019,cocaine,2704,0.5
regions,Fairfield County,2019,amphet,2704,0.5
regions,Fairfield County,2020,all,6592,NA
regions,Fairfield County,2020,opioid,3296,0.5
regions,Fairfield County,2020,fentanyl,3296,0.5
regions,Fairfield County,2020,heroin,3296,0.5
