level,name,year,substance,count,share
5CT,Rural,2012,all,0,NA
5CT,Rural,2012,opioid,NA,NA
5CT,Rural,2012,fentanyl,NA,NA
5CT,Rural,2012,heroin,NA,NA
5CT,Rural,2012,cocaine,NA,NA
5CT,Rural,2012,amphet,NA,NA
5CT,Rural,2013,all,0,NA
5CT,Rural,2013,opioid,NA,NA
5CT,Rural,2013,fentanyl,NA,NA
5CT,Rural,2013,heroin,NA,NA
5CT,Rural,2013,cocaine,NA,NA
5CT,Rural,2013,amphet,NA,NA
5CT,Rural,2014,all,0,NA
5CT,Rural,2014,opioid,NA,NA
5CT,Rural,2014,fentanyl,NA,NA
5CT,Rural,2014,heroin,NA,NA
5CT,Rural,2014,cocaine,NA,NA
5CT,Rural,2014,amphet,NA,NA
5CT,Rural,2015,all,58,NA
5CT,Rural,2015,opioid,NA,NA
5CT,Rural,2015,fentanyl,NA,NA
5CT,Rural,2015,heroin,NA,NA
5CT,Rural,2015,cocaine,NA,NA
5CT,Rural,2015,amphet,NA,NA
5CT,Rural,2016,all,90,NA
5CT,Rural,2016,opioid,NA,NA
5CT,Rural,2016,fentanyl,NA,NA
5CT,Rural,2016,heroin,NA,NA
5CT,Rural,2016,cocaine,NA,NA
5CT,Rural,2016,amphet,NA,NA
5CT,Rural,2017,all,117,NA
5CT,Rural,2017,opioid,NA,NA
5CT,Rural,2017,fentanyl,NA,NA
5CT,Rural,2017,heroin,NA,NA
5CT,Rural,2017,cocaine,NA,NA
5CT,Rural,2017,amphet,NA,NA
5CT,Rural,2018,all,111,NA
5CT,Rural,2018,opioid,NA,NA
5CT,Rural,2018,fentanyl,NA,NA
5CT,Rural,2018,heroin,NA,NA
5CT,Rural,2018,cocaine,NA,NA
5CT,Rural,2018,amphet,NA,NA
5CT,Rural,2019,all,115,NA
5CT,Rural,2019,opioid,NA,NA
5CT,Rural,2019,fentanyl,NA,NA
5CT,Rural,2019,heroin,NA,NA
5CT,Rural,2019,cocaine,NA,NA
5CT,Rural,2019,amphet,NA,NA
5CT,Rural,2020,all,134,NA
5CT,Rural,2020,opioid,NA,NA
5CT,Rural,2020,fentanyl,NA,NA
5CT,Rural,2020,heroin,NA,NA
5CT,Rural,2020,cocaine,NA,NA
5CT,Rural,2020,amphet,NA,NA
5CT,Suburban,2012,all,0,NA
5CT,Suburban,2012,opioid,NA,NA
5CT,Suburban,2012,fentanyl,NA,NA
5CT,Suburban,2012,heroin,NA,NA
5CT,Suburban,2012,cocaine,NA,NA
5CT,Suburban,2012,amphet,NA,NA
5CT,Suburban,2013,all,0,NA
5CT,Suburban,2013,opioid,NA,NA
5CT,Suburban,2013,fentanyl,NA,NA
5CT,Suburban,2013,heroin,NA,NA
5CT,Suburban,2013,cocaine,NA,NA
5CT,Suburban,2013,amphet,NA,NA
5CT,Suburban,2014,all,0,NA
5CT,Suburban,2014,opioid,NA,NA
5CT,Suburban,2014,fentanyl,NA,NA
5CT,Suburban,2014,heroin,NA,NA
5CT,Suburban,2014,cocaine,NA,NA
5CT,Suburban,2014,amphet,NA,NA
5CT,Suburban,2015,all,68,NA
5CT,Suburban,2015,opioid,NA,NA
5CT,Suburban,2015,fentanyl,NA,NA
5CT,Suburban,2015,heroin,NA,NA
5CT,Suburban,2015,cocaine,NA,NA
5CT,Suburban,2015,amphet,NA,NA
5CT,Suburban,2016,all,151,NA
5CT,Suburban,2016,opioid,NA,NA
5CT,Suburban,2016,fentanyl,NA,NA
5CT,Suburban,2016,heroin,NA,NA
5CT,Suburban,2016,cocaine,NA,NA
5CT,Suburban,2016,amphet,NA,NA
5CT,Suburban,2017,all,162,NA
5CT,Suburban,2017,opioid,NA,NA
5CT,Suburban,2017,fentanyl,NA,NA
5CT,Suburban,2017,heroin,NA,NA
5CT,Suburban,2017,cocaine,NA,NA
5CT,Suburban,2017,amphet,NA,NA
5CT,Suburban,2018,all,143,NA
5CT,Suburban,2018,opioid,NA,NA
5CT,Suburban,2018,fentanyl,NA,NA
5CT,Suburban,2018,heroin,NA,NA
5CT,Suburban,2018,cocaine,NA,NA
5CT,Suburban,2018,amphet,NA,NA
5CT,Suburban,2019,all,164,NA
5CT,Suburban,2019,opioid,NA,NA
5CT,Suburban,2019,fentanyl,NA,NA
5CT,Suburban,2019,heroin,NA,NA
5CT,Suburban,2019,cocaine,NA,NA
5CT,Suburban,2019,amphet,NA,NA
5CT,Suburban,2020,all,189,NA
5CT,Suburban,2020,opioid,NA,NA
5CT,Suburban,2020,fentanyl,NA,NA
5CT,Suburban,2020,heroin,NA,NA
5CT,Suburban,2020,cocaine,NA,NA
5CT,Suburban,2020,amphet,NA,NA
5CT,Urban core,2012,all,0,NA
5CT,Urban core,2012,opioid,NA,NA
5CT,Urban core,2012,fentanyl,NA,NA
5CT,Urban core,2012,heroin,NA,NA
5CT,Urban core,2012,cocaine,NA,NA
5CT,Urban core,2012,amphet,NA,NA
5CT,Urban core,2013,all,0,NA
5CT,Urban core,2013,opioid,NA,NA
5CT,Urban core,2013,fentanyl,NA,NA
5CT,Urban core,2013,heroin,NA,NA
5CT,Urban core,2013,cocaine,NA,NA
5CT,Urban core,2013,amphet,NA,NA
5CT,Urban core,2014,all,0,NA
5CT,Urban core,2014,opioid,NA,NA
5CT,Urban core,2014,fentanyl,NA,NA
5CT,Urban core,2014,heroin,NA,NA
5CT,Urban core,2014,cocaine,NA,NA
5CT,Urban core,2014,amphet,NA,NA
5CT,Urban core,2015,all,133,NA
5CT,Urban core,2015,opioid,NA,NA
5CT,Urban core,2015,fentanyl,NA,NA
5CT,Urban core,2015,heroin,NA,NA
5CT,Urban core,2015,cocaine,NA,NA
5CT,Urban core,2015,amphet,NA,NA
5CT,Urban core,2016,all,274,NA
5CT,Urban core,2016,opioid,NA,NA
5CT,Urban core,2016,fentanyl,NA,NA
5CT,Urban core,2016,heroin,NA,NA
5CT,Urban core,2016,cocaine,NA,NA
5CT,Urban core,2016,amphet,NA,NA
5CT,Urban core,2017,all,285,NA
5CT,Urban core,2017,opioid,NA,NA
5CT,Urban core,2017,fentanyl,NA,NA
5CT,Urban core,2017,heroin,NA,NA
5CT,Urban core,2017,cocaine,NA,NA
5CT,Urban core,2017,amphet,NA,NA
5CT,Urban core,2018,all,327,NA
5CT,Urban core,2018,opioid,NA,NA
5CT,Urban core,2018,fentanyl,NA,NA
5CT,Urban core,2018,heroin,NA,NA
5CT,Urban core,2018,cocaine,NA,NA
5CT,Urban core,2018,amphet,NA,NA
5CT,Urban core,2019,all,437,NA
5CT,Urban core,2019,opioid,NA,NA
5CT,Urban core,2019,fentanyl,NA,NA
5CT,Urban core,2019,heroin,NA,NA
5CT,Urban core,2019,cocaine,NA,NA
5CT,Urban core,2019,amphet,NA,NA
5CT,Urban core,2020,all,438,NA
5CT,Urban core,2020,opioid,NA,NA
5CT,Urban core,2020,fentanyl,NA,NA
5CT,Urban core,2020,heroin,NA,NA
5CT,Urban core,2020,cocaine,NA,NA
5CT,Urban core,2020,amphet,NA,NA
5CT,Urban periphery,2012,all,0,NA
5CT,Urban periphery,2012,opioid,NA,NA
5CT,Urban periphery,2012,fentanyl,NA,NA
5CT,Urban periphery,2012,heroin,NA,NA
5CT,Urban periphery,2012,cocaine,NA,NA
5CT,Urban periphery,2012,amphet,NA,NA
5CT,Urban periphery,2013,all,0,NA
5CT,Urban periphery,2013,opioid,NA,NA
5CT,Urban periphery,2013,fentanyl,NA,NA
5CT,Urban periphery,2013,heroin,NA,NA
5CT,Urban periphery,2013,cocaine,NA,NA
5CT,Urban periphery,2013,amphet,NA,NA
5CT,Urban periphery,2014,all,0,NA
