year,name, pop 
2006,Andover," 3,211 "
2006,Ansonia," 18,650 "
2006,Ashford," 4,444 "
2006,Avon," 17,342 "
2006,Barkhamsted," 3,708 "
2006,Beacon Falls," 5,711 "
2006,Berlin," 20,137 "
2006,Bethany," 5,525 "
2006,Bethel," 18,634 "
2006,Bethlehem," 3,580 "
2006,Bloomfield," 20,643 "
2006,Bolton," 5,142 "
2006,Bozrah," 2,432 "
2006,Branford," 29,083 "
2006,Bridgeport," 138,166 "
2006,Bridgewater," 1,900 "
2006,Bristol," 61,258 "
2006,Brookfield," 16,429 "
2006,Brooklyn," 7,815 "
2006,Burlington," 9,149 "
2006,Canaan," 1,103 "
2006,Canterbury," 5,102 "
2006,Canton," 10,081 "
2006,Chaplin," 2,512 "
2006,Cheshire," 28,884 "
2006,Chester," 3,842 "
2006,Clinton," 13,638 "
2006,Colchester," 15,421 "
2006,Colebrook," 1,546 "
2006,Columbia," 5,370 "
2006,Cornwall," 1,489 "
2006,Coventry," 12,215 "
2006,Cromwell," 13,540 "
2006,Danbury," 79,428 "
2006,Darien," 20,431 "
2006,Deep River," 4,698 "
2006,Derby," 12,481 "
2006,Durham," 7,358 "
2006,East Granby," 5,082 "
2006,East Haddam," 8,857 "
2006,East Hampton," 12,459 "
2006,East Hartford," 48,934 "
2006,East Haven," 28,741 "
2006,East Lyme," 18,321 "
2006,East Windsor," 10,563 "
2006,Eastford," 1,790 "
2006,Easton," 7,451 "
2006,Ellington," 14,370 "
2006,Enfield," 45,297 "
2006,Essex," 6,776 "
2006,Fairfield," 57,930 "
2006,Farmington," 25,040 "
2006,Franklin," 1,896 "
2006,Glastonbury," 33,077 "
2006,Goshen," 3,154 "
2006,Granby," 11,187 "
2006,Greenwich," 62,193 "
2006,Griswold," 11,264 "
2006,Groton," 39,520 "
2006,Guilford," 22,376 "
2006,Haddam," 7,743 "
2006,Hamden," 57,944 "
2006,Hampton," 2,085 "
2006,Hartford," 124,699 "
2006,Hartland," 2,090 "
2006,Harwinton," 5,600 "
2006,Hebron," 9,238 "
2006,Kent," 2,970 "
2006,Killingly," 17,679 "
2006,Killingworth," 6,438 "
2006,Lebanon," 7,319 "
2006,Ledyard," 15,100 "
2006,Lisbon," 4,188 "
2006,Litchfield," 8,750 "
2006,Lyme," 2,083 "
2006,Madison," 18,791 "
2006,Manchester," 55,738 "
2006,Mansfield," 24,779 "
2006,Marlborough," 6,321 "
2006,Meriden," 59,552 "
2006,Middlebury," 7,146 "
2006,Middlefield," 4,276 "
2006,Middletown," 47,528 "
2006,Milford," 55,127 "
2006,Monroe," 19,599 "
2006,Montville," 19,660 "
2006,Morris," 2,381 "
2006,Naugatuck," 31,933 "
2006,New Britain," 70,855 "
2006,New Canaan," 19,976 "
2006,New Fairfield," 14,248 "
2006,New Hartford," 6,794 "
2006,New Haven," 124,220 "
2006,New London," 25,979 "
2006,New Milford," 28,694 "
2006,Newington," 29,586 "
2006,Newtown," 27,034 "
2006,Norfolk," 1,678 "
2006,North Branford," 14,478 "
2006,North Canaan," 3,388 "
2006,North Haven," 24,077 "
2006,North Stonington," 5,209 "
2006,Norwalk," 84,344 "
2006,Norwich," 36,408 "
2006,Old Lyme," 7,427 "
2006,Old Saybrook," 10,581 "
2006,Orange," 13,878 "
2006,Oxford," 12,333 "
2006,Plainfield," 15,447 "
2006,Plainville," 17,312 "
2006,Plymouth," 12,164 "
2006,Pomfret," 4,173 "
2006,Portland," 9,595 "
2006,Preston," 4,894 "
2006,Prospect," 9,282 "
2006,Putnam," 9,325 "
2006,Redding," 8,919 "
2006,Ridgefield," 24,044 "
2006,Rocky Hill," 18,835 "
2006,Roxbury," 2,344 "
2006,Salem," 4,100 "
2006,Salisbury," 4,047 "
2006,Scotland," 1,724 "
2006,Seymour," 16,249 "
2006,Sharon," 3,058 "
2006,Shelton," 40,217 "
2006,Sherman," 4,146 "
2006,Simsbury," 23,660 "
2006,Somers," 10,888 "
2006,South Windsor," 26,030 "
2006,Southbury," 19,722 "
2006,Southington," 42,249 "
2006,Sprague," 2,986 "
2006,Stafford," 11,826 "
2006,Stamford," 119,483 "
2006,Sterling," 3,657 "
2006,Stonington," 18,262 "
2006,Stratford," 49,607 "
2006,Suffield," 15,127 "
2006,Thomaston," 7,922 "
2006,Thompson," 9,324 "
2006,Tolland," 14,699 "
2006,Torrington," 35,931 "
